site_id,lat,lon,flow,normalized_flow,ratio_max_allyear,ratio_sum_3day_allyear,ratio_max_summerfall,ratio_sum_3day_summerfall
01200000,41.658983,-73.528458,4390.0,20.16671182378622,0.2519017759966134,0.19324753881300502,0.16373673592102783,0.16373673592102783
01302020,40.862306,-73.874389,980.8,23.621281389474593,0.37047233126924695,0.24906966257420998,0.32176084651008774,0.22339799840982674
01312000,43.966174,-74.130704,4997.333333333333,24.540148859481494,1.0619069337846028,0.8542774395199503,0.3572514269760421,0.3274606561836111
01315500,43.700898,-73.983466,18466.666666666668,21.94749882239517,0.531907263167837,0.42339056022558963,0.33405955073114574,0.32356806371940716
01318500,43.31896,-73.844289,31900.0,18.013499870979174,0.5415900592257282,0.44378343951950305,,
01321000,43.352847,-74.270415,12065.238095238095,23.358954160617696,0.9240088307529353,0.6977951598543827,0.348945740681766,0.3086078726390476
01329490,43.108687,-73.421779,9260.0,22.06820617472153,0.6155211257256907,0.4790910328477743,,
01330000,43.03063,-73.927347,678.5,26.035366125258,0.6559065607560084,0.5170123515136316,0.8548409429208137,0.6351218866846006
01334500,42.938689,-73.377056,10367.5,19.152831366194405,0.6253089263299911,0.46652687910327123,,
01336000,43.264514,-75.436286,4068.3333333333335,25.757923380886343,0.7172101624483423,0.46004023493382457,0.5014344443559619,0.3256464177288826
01346000,43.068959,-74.988212,14260.0,24.237296344977644,0.6901261044267278,0.5842569946386396,0.480046370598838,0.42502304969142407
01347000,43.014793,-74.779315,33100.0,23.46958353861759,0.47222501364866193,0.4409353295523545,0.47222501364866193,0.4409353295523545
01348000,43.016738,-74.740702,7074.705882352941,22.88111845794807,1.6514780688605064,1.2624414441640928,0.575662428488405,0.45126288521128805
01349000,42.929517,-74.625976,1452.8,22.54437609569839,3.3261626929100805,2.251661246380655,0.7678286209402385,0.49093659326460154
01349150,42.876184,-74.602919,1591.304347826087,25.146284568590364,2.045913530449646,1.439316244287736,0.6937570132200865,0.46407924721791916
01349700,42.249253,-74.302645,1048.2608695652175,27.6640226245736,0.6581644007140072,0.5085970711145107,0.5368188788054533,0.4073586953633607
01349705,42.237031,-74.340147,3242.978723404255,31.838583653783026,0.726593553323354,0.5503082033172703,0.5755822799438637,0.4352931443820442
01349950,42.308418,-74.389869,1867.3333333333333,25.67783795490687,0.4894887626321942,0.398798480311515,0.4730859034039321,0.3635353458241343
01350035,42.338139,-74.451537,653.8888888888889,23.625959952289687,0.5920653701162262,0.48496561311129216,0.40377553289839774,0.29588913918815507
01350101,42.397303,-74.450425,8538.947368421053,25.56686582036778,0.6634517074437029,0.5232520371507445,0.6087771103417053,0.46127637327931403
01350180,42.465911,-74.462091,10422.0,27.46157540920275,0.7518720544745087,0.6064095525791134,0.7065659860074772,0.5211092466909063
01350355,42.537020999999996,-74.41042,12161.538461538461,25.802766855713642,0.7790745065818743,0.5961990396543977,0.7689942055016168,0.5274013513265637
01351500,42.800075,-74.262907,25216.666666666668,26.581165327941378,0.8699706295555071,0.649309258283764,0.7429102331590083,0.4855706659526915
01360640,42.55203,-73.5915,278.8888888888889,27.377500833685534,0.647402510114218,0.492116890230773,0.5862504210429672,0.507076842075916
01362500,42.014259,-74.270703,5416.666666666667,26.872108878850273,0.4705729814707769,0.358567489372732,0.4313839515706717,0.30567555985338696
01364500,42.037869,-73.972081,8130.0,18.34222631247458,0.22319574402969877,0.21109709103464316,,
01365500,41.845092,-74.540435,525.35,23.60651130542745,0.5046714790356032,0.38252047039374526,0.4387590786087947,0.31995602017113284
01367500,41.843148,-74.085976,8973.333333333334,23.352282164723494,0.4489394989661126,0.3308878360412593,0.4053890436238821,0.28819815094388385
01372500,41.653149,-73.872635,3556.6666666666665,19.695349967505134,0.31049552622203386,0.22501579221237408,0.14038521960303724,0.14038521960303724
01374531,41.373778,-73.63875,1760.0,18.574945883944466,0.14392488947252124,0.14392488947252124,0.14392488947252124,0.14392488947252124
01374559,41.470649,-73.76013200000001,266.6,22.544292296153433,0.34531445696585344,0.278750243510099,0.2784102065032291,0.2332075057657771
01374581,41.449816,-73.73652,559.5,23.780190955664306,0.3000300829060895,0.25158741947512236,0.23810099599766127,0.20660824614061457
01374598,41.475861,-73.689472,107.81666666666666,26.098951254905842,0.28124504260001754,0.22280831844793678,0.2699043868486245,0.21505401172036462
01374701,41.357872,-73.668185,1680.0,19.785246607112427,0.15191374211168088,0.15191374211168088,0.15191374211168088,0.15191374211168088
01374821,41.327194,-73.655833,564.5555555555555,22.346967905836603,0.32649661140176944,0.25372615826016076,0.30580884504811856,0.24127325729919025
01374890,41.260222,-73.601861,328.1666666666667,19.742305513958865,0.30501946080473696,0.21034307706302835,0.20589471692648784,0.17563259214112636
01374901,41.266206,-73.665685,649.625,21.589220226791745,0.32177415738376425,0.24207637194943105,0.24703227275728942,0.21041574541864425
01374930,41.338139,-73.768694,416.875,29.487712104522103,0.30055086741854625,0.2546553500066077,0.3013368359098955,0.255049642703762
01374941,41.287611,-73.753639,486.3333333333333,23.44450959799863,0.18377231350569287,0.18377231350569287,0.18377231350569287,0.18377231350569287
01375000,41.225094,-73.859303,10900.0,27.21115877297088,0.20050959713194366,0.19843329285518807,0.20050959713194366,0.19843329285518807
01376800,41.095652,-73.964027,827.9166666666666,25.134875977918906,0.3929124293392943,0.29078027881397495,0.379279883682163,0.26057719513769007
01387400,41.140373,-74.168479,2341.25,24.724113525228237,0.3326233815059326,0.2815295982030082,0.2896737779604089,0.24802930779595023
